x,y,z
-2.8291673660278320,-55.7337036132812500,-1.0374041795730591
7.5435891151428223,-48.7291297912597656,-1.0387583971023560
25.1389331817626953,-56.0330657958984375,-1.2497185468673706
11.2258920669555664,-50.0446090698242188,-2.2414577007293701
6.8370165824890137,-52.1409759521484375,-1.0387874841690063
-1.9751050472259521,-55.2617835998535156,-1.2462217807769775
10.6216621398925781,-55.0279121398925781,-2.2413613796234131
-30.9467067718505859,-57.0014343261718750,-2.2410507202148438
20.2222404479980469,-55.4312934875488281,-1.6217596530914307
-1.6293838024139404,-50.6208076477050781,-1.6309534311294556
15.4223747253417969,-49.6757736206054688,-1.2497791051864624
-5.8217668533325195,-54.4504928588867188,-1.2462984323501587
-20.2221431732177734,-55.4218101501464844,-1.0379680395126343
12.6196556091308594,-55.3406982421875000,-1.0328093767166138
3.6551597118377686,-46.4662094116210938,-1.6255770921707153
-12.3695430755615234,-53.0347862243652344,-1.0372662544250488
-1.0211154222488403,-55.0325508117675781,-2.0336997509002686
6.7317814826965332,-50.2439880371093750,-1.0388290882110596
-18.1781902313232422,-55.4235191345214844,-1.0367841720581055
11.5805768966674805,-51.5963935852050781,-1.0385460853576660
12.5120229721069336,-53.8911781311035156,-1.0365434885025024
-2.8030958175659180,-48.2581100463867188,-2.0354757308959961
7.6639938354492188,-50.0880355834960938,-2.1431694030761719
6.7916316986083984,-52.5496177673339844,-2.2419390678405762
5.9082961082458496,-47.7207031250000000,-1.0388623476028442
-2.5970959663391113,-57.0082778930664063,-2.2475988864898682
-10.6196756362915039,-55.0437927246093750,-2.0234334468841553
-22.1811904907226563,-57.0019569396972656,-1.6409099102020264
25.0213851928710938,-56.0025138854980469,-2.2411112785339355
-5.8217453956604004,-49.6248397827148438,-1.8955118656158447
-30.5671501159667969,-56.3074493408203125,-1.6311434507369995
-3.7427589893341064,-57.0062179565429688,-2.2410652637481689
-1.0183882713317871,-51.1130294799804688,-2.2424273490905762
-8.5793437957763672,-57.0022201538085938,-2.2423474788665771
2.0881383419036865,-56.0906219482421875,-1.4084869623184204
12.4235324859619141,-52.9209251403808594,-1.2441104650497437
7.6565065383911133,-53.0491371154785156,-2.2417514324188232
-11.4795379638671875,-52.5041618347167969,-1.2499009370803833
-20.2222194671630859,-54.4242362976074219,-1.0385925769805908
-6.8344721794128418,-48.5778427124023438,-2.2411575317382813
12.2506666183471680,-54.6430130004882813,-1.6301456689834595
1.9351267814636230,-48.9353179931640625,-2.2412364482879639
20.2222518920898438,-53.6238327026367188,-1.0388062000274658
-1.0215934514999390,-47.4773292541503906,-2.1035683155059814
2.9063050746917725,-56.5232887268066406,-1.0368131399154663
7.6814227104187012,-57.0079536437988281,-1.8694063425064087
-5.8411188125610352,-48.6890144348144531,-2.2412147521972656
-13.3797044754028320,-55.2216529846191406,-2.2431929111480713
5.8199319839477539,-48.5317230224609375,-2.0181925296783447
2.7782938480377197,-48.4001274108886719,-2.2419893741607666
-3.7794725894927979,-51.1917419433593750,-2.0325632095336914
-8.5800991058349609,-56.0103378295898438,-1.0372422933578491
-12.7334165573120117,-52.3542327880859375,-1.6652522087097168
18.1783409118652344,-56.0100364685058594,-1.0380184650421143
25.0231266021728516,-57.0017280578613281,-1.0389168262481689
-1.0223380327224731,-50.1144142150878906,-2.2411105632781982
10.6210374832153320,-56.0063667297363281,-1.0376845598220825
-8.5793304443359375,-53.7356758117675781,-1.6519355773925781
22.2204895019531250,-56.2400016784667969,-1.6414558887481689
-17.3918304443359375,-53.7038612365722656,-1.6383678913116455
-6.7171001434326172,-53.0360107421875000,-1.0377569198608398
27.7792778015136719,-55.4069480895996094,-2.2412228584289551
10.6317567825317383,-52.0703048706054688,-2.2413754463195801
-11.4680852890014648,-55.4201087951660156,-1.0385682582855225
10.6202602386474609,-54.0222854614257813,-2.2419846057891846
-18.1776599884033203,-52.1241912841796875,-1.2735744714736938
2.8659749031066895,-47.4673004150390625,-1.9005281925201416
-12.8151836395263672,-51.0556068420410156,-1.0374634265899658
2.8377091884613037,-57.0073966979980469,-1.9035438299179077
1.9449844360351563,-49.4230422973632813,-1.0386543273925781
1.0221153497695923,-57.0080070495605469,-2.2430434226989746
-26.2746906280517578,-53.5050239562988281,-1.0388716459274292
