x,y,z
-12.3547620773315430,-39.5554275512695313,-2.7415513992309570
-12.3536577224731445,-41.5410652160644531,-1.0381561517715454
1.1768206357955933,-39.4293174743652344,-2.7445952892303467
-38.9262390136718750,-61.9071884155273438,-2.5583829879760742
-17.1553230285644531,-39.6889991760253906,-1.0389893054962158
-7.7127394676208496,-33.2000885009765625,-1.0331792831420898
8.1360054016113281,-44.9188995361328125,-1.7902002334594727
26.9137992858886719,-52.5847053527832031,-2.7426409721374512
-10.6220788955688477,-38.5610237121582031,-2.7418491840362549
-27.1711254119873047,-52.9170341491699219,-1.9276924133300781
-8.5321722030639648,-49.0782585144042969,-1.8898679018020630
-31.6027717590332031,-54.7156219482421875,-1.4390345811843872
-21.9544429779052734,-49.1312789916992188,-2.7414572238922119
-7.6753892898559570,-55.0870437622070313,-1.0355020761489868
-6.7309360504150391,-29.3584346771240234,-1.0384286642074585
-3.7776634693145752,-47.1696701049804688,-1.0319950580596924
-16.2888660430908203,-53.1162223815917969,-2.7417891025543213
2.9119060039520264,-37.4551696777343750,-1.0380123853683472
-8.5786542892456055,-54.5261764526367188,-2.7486090660095215
-7.0302739143371582,-31.9717388153076172,-1.9018547534942627
8.0885419845581055,-26.8398342132568359,-1.8910784721374512
-12.3965854644775391,-52.1143150329589844,-1.8959805965423584
10.6363954544067383,-38.7298736572265625,-1.8895127773284912
13.3777170181274414,-42.2481536865234375,-1.0319930315017700
1.0204164981842041,-40.9164085388183594,-1.8966029882431030
-18.0228309631347656,-49.1565818786621094,-2.7442560195922852
20.7609004974365234,-45.7419509887695313,-1.8147040605545044
-7.6840648651123047,-54.5876121520996094,-1.8906611204147339
-7.6858701705932617,-42.1994438171386719,-1.0334836244583130
-2.5515546798706055,-57.0711517333984375,-1.8697096109390259
8.5135841369628906,-34.6262741088867188,-1.0336025953292847
8.5783090591430664,-35.6131477355957031,-1.0330549478530884
-11.6432867050170898,-34.5757675170898438,-1.8901281356811523
6.6802930831909180,-26.8149299621582031,-1.0378481149673462
-7.6868968009948730,-52.0945777893066406,-1.0326763391494751
8.3955583572387695,-57.0650787353515625,-2.7434296607971191
-7.7071166038513184,-31.1948604583740234,-1.0374027490615845
-11.5968370437622070,-55.2252235412597656,-1.0357662439346313
3.7783734798431396,-42.9030570983886719,-2.7421703338623047
30.7802505493164063,-55.3928909301757813,-2.7411532402038574
15.5728731155395508,-46.6640815734863281,-2.7416093349456787
8.5775518417358398,-32.6550369262695313,-2.7470221519470215
1.6825730800628662,-54.9474029541015625,-1.9751019477844238
22.9784412384033203,-57.0579071044921875,-2.7427630424499512
-26.6886672973632813,-54.5804290771484375,-2.7400248050689697
-22.9767208099365234,-47.6468582153320313,-2.7448799610137939
20.2242984771728516,-48.1128387451171875,-2.7446699142456055
-16.2878684997558594,-41.1863250732421875,-1.0389961004257202
-6.9030532836914063,-56.0759010314941406,-2.7426185607910156
16.2027969360351563,-57.0650062561035156,-2.7436120510101318
7.5750956535339355,-47.2054634094238281,-1.0323009490966797
-13.2306203842163086,-45.9778823852539063,-1.0352492332458496
-7.6822495460510254,-54.0881500244140625,-1.0331702232360840
20.2211189270019531,-53.6599273681640625,-1.9168879985809326
11.6237611770629883,-38.2780990600585938,-1.0333919525146484
1.1202944517135620,-25.9340896606445313,-1.8880244493484497
-1.0221470594406128,-35.3606643676757813,-1.0314650535583496
-2.0423069000244141,-44.6839675903320313,-1.8899346590042114
-8.5807914733886719,-44.1291046142578125,-1.8906044960021973
-13.3790740966796875,-42.5284004211425781,-1.8846226930618286
3.5130450725555420,-26.0313186645507813,-1.0384016036987305
16.7489128112792969,-40.8738517761230469,-2.7424759864807129
16.4455833435058594,-47.1522254943847656,-1.0385661125183105
-20.2213096618652344,-54.1022834777832031,-1.0381748676300049
-21.2434997558593750,-48.1305999755859375,-1.8900721073150635
25.1438941955566406,-53.6588554382324219,-1.0377641916275024
13.3777217864990234,-40.2611541748046875,-2.7477436065673828
17.1516990661621094,-42.1797714233398438,-1.8880361318588257
-5.8222088813781738,-51.6399879455566406,-2.7484080791473389
-8.5777425765991211,-31.1888980865478516,-1.8905699253082275
-12.5124092102050781,-40.0530166625976563,-1.8902670145034790
10.6184587478637695,-53.6222267150878906,-1.8868764638900757
-17.3120136260986328,-41.1865234375000000,-1.8900344371795654
-11.2862567901611328,-57.0688095092773438,-1.0322542190551758
-27.7782859802246094,-53.7092170715332031,-1.9346866607666016
18.0005207061767578,-39.6868858337402344,-1.8849346637725830
21.9919166564941406,-54.1799087524414063,-1.0372021198272705
20.2213973999023438,-53.1247940063476563,-1.0353454351425171
-7.6847119331359863,-54.0868568420410156,-2.7472290992736816
-6.6790385246276855,-55.6098709106445313,-1.8929960727691650
-11.6462478637695313,-37.5658035278320313,-1.8900018930435181
1.1778043508529663,-53.2256278991699219,-1.0349107980728149
