x,y,z
15.4222850799560547,-54.9618606567382813,-2.2504072189331055
6.5202527046203613,-53.5148315429687500,-1.5319590568542480
-1.7504278421401978,-52.5272216796875000,-1.5351003408432007
-15.4212007522583008,-51.3267707824707031,-1.5355991125106812
-11.9824657440185547,-54.2043457031250000,-1.5276720523834229
-21.5989646911621094,-55.5704650878906250,-2.2467172145843506
-13.3778295516967773,-46.7944526672363281,-2.2424371242523193
-25.7552700042724609,-54.2205543518066406,-1.5386041402816772
3.7780981063842773,-40.6094436645507813,-2.2412171363830566
-3.4588129520416260,-54.8800964355468750,-1.5221447944641113
-1.7396521568298340,-54.6061630249023438,-2.2430083751678467
20.2220153808593750,-56.3016242980957031,-1.5361669063568115
1.7198306322097778,-50.5400581359863281,-2.2459075450897217
7.4002571105957031,-44.3169708251953125,-1.5346763134002686
2.4111535549163818,-55.6013450622558594,-1.5316821336746216
3.1336719989776611,-40.3133811950683594,-1.5385594367980957
-1.7279597520828247,-46.1532096862792969,-2.2419371604919434
-11.3911628723144531,-46.7409553527832031,-1.5371192693710327
13.3766269683837891,-49.8786811828613281,-2.2468602657318115
-8.5207042694091797,-44.3877677917480469,-1.5387005805969238
25.7194023132324219,-56.2998275756835938,-1.5336016416549683
2.7818942070007324,-43.0131988525390625,-2.2452354431152344
-15.9595355987548828,-47.8384475708007813,-1.5387228727340698
-16.1098308563232422,-54.8819808959960938,-1.5343520641326904
13.3792467117309570,-50.5664634704589844,-1.5341330766677856
-31.3852500915527344,-56.4841156005859375,-2.2416334152221680
21.4518146514892578,-54.3857269287109375,-1.5375726222991943
-11.9780998229980469,-57.0060844421386719,-1.5364217758178711
-7.1910791397094727,-55.5971755981445313,-2.2461159229278564
7.2022981643676758,-47.0156631469726563,-1.5326992273330688
-8.5814237594604492,-53.4911003112792969,-1.5365393161773682
27.0845260620117188,-54.1242027282714844,-2.2454285621643066
12.6415042877197266,-49.8585662841796875,-1.5376138687133789
21.4249305725097656,-55.7992362976074219,-1.5371801853179932
-1.0183150768280029,-55.6054649353027344,-1.5367180109024048
-1.7163636684417725,-46.8562698364257813,-1.5332187414169312
