x,y,z
6.7253689765930176,-45.5616912841796875,-1.0342371463775635
6.7107715606689453,-48.5624008178710938,-2.7471957206726074
-21.1157112121582031,-51.3271827697753906,-2.7421028614044189
-7.7043404579162598,-41.1473541259765625,-2.7410933971405029
-2.0170826911926270,-55.6499748229980469,-1.8664562702178955
-2.0202169418334961,-50.6425971984863281,-1.8898870944976807
6.7122087478637695,-49.5593872070312500,-1.0327649116516113
-36.6751670837402344,-61.9073715209960938,-2.5575685501098633
3.7779912948608398,-49.1223754882812500,-2.7473840713500977
8.5734529495239258,-52.2386054992675781,-1.0317662954330444
-6.8424015045166016,-43.6466789245605469,-2.7412803173065186
-10.6687593460083008,-45.7149734497070313,-1.0385640859603882
-11.1722526550292969,-51.9630546569824219,-2.7430083751678467
-11.6578454971313477,-50.2083435058593750,-1.0356862545013428
13.3785524368286133,-53.2369689941406250,-2.7445342540740967
15.4202699661254883,-48.2087326049804688,-1.9806572198867798
21.9562320709228516,-54.6542053222656250,-1.0372711420059204
-1.2631688117980957,-43.6661911010742188,-1.8838969469070435
-8.5781965255737305,-49.5854721069335938,-2.7429590225219727
-16.3791770935058594,-51.5136947631835938,-2.7462873458862305
1.9117634296417236,-52.6889915466308594,-2.5883045196533203
-12.3122692108154297,-51.8591575622558594,-2.7435777187347412
-12.4244241714477539,-46.6651496887207031,-1.0372078418731689
6.7064552307128906,-50.5574417114257813,-2.7473227977752686
-5.8255586624145508,-57.0675621032714844,-2.7459206581115723
15.4201707839965820,-56.3580818176269531,-1.0368349552154541
6.6753706932067871,-44.0303611755371094,-1.8929075002670288
-1.0216921567916870,-47.6322174072265625,-1.8898475170135498
5.8309698104858398,-46.0724906921386719,-2.7447865009307861
-7.6736412048339844,-52.0894088745117188,-2.7412500381469727
-7.7063474655151367,-43.1450347900390625,-1.0386905670166016
10.8229274749755859,-44.5798606872558594,-2.7378628253936768
20.2213191986083984,-55.3699645996093750,-1.0396692752838135
18.0762023925781250,-49.5152397155761719,-2.7435266971588135
-7.5488147735595703,-46.6360626220703125,-1.8883078098297119
17.2034988403320313,-50.0043258666992188,-2.7437691688537598
3.7816317081451416,-45.1360740661621094,-2.7458510398864746
13.3782062530517578,-46.2494239807128906,-2.7431917190551758
-10.6231956481933594,-46.7510032653808594,-2.7429516315460205
1.9110031127929688,-45.7120971679687500,-1.0369597673416138
